39.288663,-76.559148,720
39.288663,-76.559148,5
39.28871,-76.558925,10
39.288006,-76.558858,10
39.288033,-76.558129,10
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
39.288663,-76.559148,720
39.288663,-76.559148,10
39.288694,-76.559278,25
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
39.288663,-76.559148,720
39.288663,-76.559148,5
39.28871,-76.558925,8
39.288006,-76.558858,12
39.288033,-76.558129,10
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
39.288663,-76.559148,720
39.288663,-76.559148,5
39.28871,-76.558925,10
39.288006,-76.558858,10
39.288033,-76.558129,10
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
39.288663,-76.559148,720
39.288663,-76.559148,5
39.28871,-76.558925,10
39.288006,-76.558858,10
39.288033,-76.558129,10
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
39.288663,-76.559148,720
39.288663,-76.559148,10
39.288694,-76.559278,25
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
39.288663,-76.559148,720
39.288663,-76.559148,5
39.28871,-76.558925,10
39.288006,-76.558858,10
39.288033,-76.558129,10
39.287974,-76.558053,90
39.287974,-76.558053,10
39.287991,-76.559247,15
39.288694,-76.559278,5
39.288663,-76.559148,565
